Question,Answer
Comment savoir si un site utilise TLS 1.3 ?,On peut utiliser la commande `openssl s_client -connect site:443 -tls1_3` ou des outils comme SSL Labs pour tester la version TLS utilisée.
Qu’est-ce que PFS (Perfect Forward Secrecy) ?,"PFS garantit que même si la clé privée d’un serveur est compromise, les sessions passées restent sécurisées grâce à l’échange de clés éphémères (Diffie-Hellman)."
Pourquoi les navigateurs affichent-ils un cadenas vert ?,Le cadenas indique que la connexion est sécurisée via HTTPS et qu’un certificat TLS valide est utilisé.
Qu’est-ce qu’un certificat Wildcard ?,Un certificat wildcard couvre un domaine et tous ses sous-domaines (exemple : *.exemple.com).
Qu’est-ce qu’un certificat SAN ?,Un certificat SAN (Subject Alternative Name) permet de protéger plusieurs noms de domaine ou sous-domaines dans un seul certificat.
Qu’est-ce que la PKI ?,"La PKI (Public Key Infrastructure) est l’ensemble des technologies, rôles et politiques permettant de gérer les certificats numériques et les clés publiques."
Quelle est la différence entre RSA et ECC ?,"RSA repose sur la factorisation des grands nombres, alors qu’ECC repose sur les courbes elliptiques. ECC offre une sécurité équivalente avec des clés plus courtes et plus rapides."
Qu’est-ce que Let’s Encrypt ?,Let’s Encrypt est une autorité de certification gratuite et automatisée qui délivre des certificats TLS valides via le protocole ACME.
Comment renouveler un certificat TLS ?,On doit générer une nouvelle CSR et la soumettre à l’autorité de certification avant l’expiration du certificat.
"Quelles sont les différences entre TLS et mTLS (mutual TLS) ?","Dans TLS, seul le serveur est authentifié par le client. mTLS ajoute l’authentification mutuelle en exigeant que le client présente également un certificat, assurant ainsi une authentification bidirectionnelle."
"Que sont les certificats auto-signés et quels sont leurs avantages et inconvénients ?","Les certificats auto-signés sont émis par l'entité elle-même et non par une autorité de certification (CA). Avantages : simplicité et gratuité. Inconvénients : ils ne sont pas reconnus par défaut, ce qui pose des problèmes de confiance et des risques de sécurité."
"Pouvez-vous expliquer le certificate pinning ?","Le certificate pinning consiste à associer un serveur ou un domaine à un certificat ou une clé publique spécifique. Cela empêche les attaquants d’utiliser de faux certificats pour intercepter les communications sécurisées."
"Comment mettre en place mTLS dans une architecture microservices ?","Il faut configurer chaque service (client et serveur) pour s’authentifier mutuellement avec des certificats TLS. Généralement, une autorité de certification interne est utilisée pour émettre et gérer les certificats de chaque microservice."
"Comment gérer et stocker les certificats TLS de manière sécurisée dans une grande organisation ?","Utiliser un système centralisé de gestion des certificats, appliquer des contrôles d’accès stricts, automatiser la rotation et le renouvellement des certificats, et surveiller régulièrement leur statut."
"Avez-vous une expérience avec les logs de transparence des certificats (Certificate Transparency) ?","Les CT logs sont des registres publics et auditables des certificats émis par les CAs. On peut les utiliser pour vérifier qu’aucun certificat non autorisé n’a été délivré pour nos domaines."
"Quelles étapes suivez-vous pour résoudre un échec de connexion TLS d’un client à votre serveur ?","Je vérifie d’abord la configuration TLS du serveur et l’état du certificat, puis la connectivité réseau et le pare-feu. Si le problème persiste, j’utilise un outil comme Wireshark pour analyser le handshake TLS et identifier la cause."
"Comment réagir à l’expiration d’un certificat sur un serveur critique en production ?","À court terme, je renouvelle ou remplace immédiatement le certificat expiré puis redémarre le service. À long terme, je mets en place un système de surveillance et d’alerte sur les dates d’expiration des certificats."
"Quels sont les différents types de certificats SSL (DV, OV, EV) et quand les utiliser ?","DV (Domain Validation) : vérifie uniquement le domaine, adapté aux sites simples. OV (Organization Validation) : vérifie l’entreprise, adapté aux sites d’entreprise. EV (Extended Validation) : niveau le plus élevé, recommandé pour e-commerce et banques."
"Pouvez-vous expliquer la chaîne de certificats SSL et son importance ?","La chaîne de certificats relie le certificat serveur à une autorité racine de confiance. Elle inclut le certificat serveur, des certificats intermédiaires, et le certificat racine. Elle est essentielle pour établir la confiance entre le client et le serveur."
"Qu’est-ce que HSTS (HTTP Strict Transport Security) et pourquoi est-ce important ?","HSTS est une politique de sécurité qui force l’utilisation du HTTPS entre un navigateur et un serveur. Elle protège contre les attaques de type downgrade et certaines attaques de l’homme du milieu en imposant le chiffrement."
